key|volume|ects
"Master 2 M2 Visual Computing (VICO)
Année universitaire 2023-2024"||
Description des UE|TOTAL : 48h Répartition : CM : 0h TD : 0h CI : 28h TP : 14h EAD : 6h|
YG9U15-|TOTAL : 48h Répartition : CM : 0h TD : 0h CI : 28h TP : 14h EAD : 6h|
nan|TOTAL : 48h Répartition : CM : 0h TD : 0h CI : 28h TP : 14h EAD : 6h|
nan|TOTAL : 24h Répartition : CM : 0h TD : 0h CI : 14h TP : 7h EAD : 3h|
nan|TOTAL : 24h Répartition : CM : 0h TD : 0h CI : 14h TP : 7h EAD : 3h|
Evaluation|TOTAL : 0h Répartition : CM : 0h TD : 0h CI : 0h TP : 0h EAD : 0h|
