key|volume|ects
"Master 2 M2 Architectures Logicielles (ALMA)
Année universitaire"||
Middleware|TOTAL : 24h Répartition : CM : 12h TD : 6h CI : 0h TP : 6h EAD : 0h|
Deep Learning and Intensive Software Systems (EMN)|TOTAL : 24h Répartition : CM : 12h TD : 0h CI : 0h TP : 12h EAD : 0h|
Ingénierie dirigée par les modèles|TOTAL : 24h Répartition : CM : 12h TD : 12h CI : 0h TP : 0h EAD : 0h|
Gestion des logiciels|TOTAL : 45h Répartition : CM : 33h TD : 12h CI : 0h TP : 0h EAD : 0h|
Modélisation et vérification des systèmes concurrents|TOTAL : 24h Répartition : CM : 12h TD : 12h CI : 0h TP : 0h EAD : 0h|
Architectures et styles d'architectures|TOTAL : 24h Répartition : CM : 16h TD : 8h CI : 0h TP : 0h EAD : 0h|
Stage|TOTAL : 0h Répartition : CM : 0h TD : 0h CI : 0h TP : 0h EAD : 0h|
